pair_id,CUI,label,category,original_cui,start_index,end_index
"23f1dcec-66c7-11e7-bab8-f45c89b91419,ng",C0020676,non-entailment,symptoms_diseases,C0017168,,
"23f1dcec-66c7-11e7-bab8-f45c89b91419,ng",C0151740,non-entailment,symptoms_diseases,C0017168,,
"23f1dcec-66c7-11e7-bab8-f45c89b91419,ng",C0040558,non-entailment,symptoms_diseases,C0017168,,
23f20df4-66c7-11e7-b179-f45c89b91419,C0948089,entailment,symptoms_diseases,C0948089,32,55
"23f20df4-66c7-11e7-b179-f45c89b91419,ng",C0020456,non-entailment,symptoms_diseases,C0948089,,
"23f20df4-66c7-11e7-b179-f45c89b91419,ng",C0018790,non-entailment,symptoms_diseases,C0948089,,
"23f20df4-66c7-11e7-b179-f45c89b91419,ng",C0085581,non-entailment,symptoms_diseases,C0948089,,
"23f20df4-66c7-11e7-b179-f45c89b91419,ng",C0020473,non-entailment,symptoms_diseases,C0948089,,
"23f20df4-66c7-11e7-b179-f45c89b91419,ng",C0020676,non-entailment,symptoms_diseases,C0948089,,
"23f20df4-66c7-11e7-b179-f45c89b91419,ng",C0022660,non-entailment,symptoms_diseases,C0948089,,
"23f20df4-66c7-11e7-b179-f45c89b91419,ng",C0034065,non-entailment,symptoms_diseases,C0948089,,
"23f20df4-66c7-11e7-b179-f45c89b91419,ng",C0008350,non-entailment,symptoms_diseases,C0948089,,
"23f20df4-66c7-11e7-b179-f45c89b91419,ng",C0035204,non-entailment,symptoms_diseases,C0948089,,
"23f20df4-66c7-11e7-b179-f45c89b91419,ng",C0001175,non-entailment,symptoms_diseases,C0948089,,
23f2b1ee-66c7-11e7-b044-f45c89b91419,C0008311,entailment,symptoms_diseases,C0008311,24,35
"23f2b1ee-66c7-11e7-b044-f45c89b91419,ng",C0022638,non-entailment,symptoms_diseases,C0008311,,
"23f2b1ee-66c7-11e7-b044-f45c89b91419,ng",C0004623,non-entailment,symptoms_diseases,C0008311,,
"23f2b1ee-66c7-11e7-b044-f45c89b91419,ng",C0003962,non-entailment,symptoms_diseases,C0008311,,
"23f2b1ee-66c7-11e7-b044-f45c89b91419,ng",C0020305,non-entailment,symptoms_diseases,C0008311,,
"23f2b1ee-66c7-11e7-b044-f45c89b91419,ng",C0038454,non-entailment,symptoms_diseases,C0008311,,
"23f2b1ee-66c7-11e7-b044-f45c89b91419,ng",C0264714,non-entailment,symptoms_diseases,C0008311,,
"23f2b1ee-66c7-11e7-b044-f45c89b91419,ng",C1260873,non-entailment,symptoms_diseases,C0008311,,
"23f2b1ee-66c7-11e7-b044-f45c89b91419,ng",C0004623,non-entailment,symptoms_diseases,C0008311,,
"23f2b1ee-66c7-11e7-b044-f45c89b91419,ng",C0022660,non-entailment,symptoms_diseases,C0008311,,
"23f2b1ee-66c7-11e7-b044-f45c89b91419,ng",C0003504,non-entailment,symptoms_diseases,C0008311,,
23f31d52-66c7-11e7-835d-f45c89b91419,C0027765,entailment,symptoms_diseases,C0027765,18,40
"23f31d52-66c7-11e7-835d-f45c89b91419,ng",C1956346,non-entailment,symptoms_diseases,C0027765,,
"23f31d52-66c7-11e7-835d-f45c89b91419,ng",C0007177,non-entailment,symptoms_diseases,C0027765,,
"23f31d52-66c7-11e7-835d-f45c89b91419,ng",C0948089,non-entailment,symptoms_diseases,C0027765,,
"23f31d52-66c7-11e7-835d-f45c89b91419,ng",C0017168,non-entailment,symptoms_diseases,C0027765,,
"23f31d52-66c7-11e7-835d-f45c89b91419,ng",C0018799,non-entailment,symptoms_diseases,C0027765,,
"23f31d52-66c7-11e7-835d-f45c89b91419,ng",C0017178,non-entailment,symptoms_diseases,C0027765,,
"23f31d52-66c7-11e7-835d-f45c89b91419,ng",C0022638,non-entailment,symptoms_diseases,C0027765,,
"23f31d52-66c7-11e7-835d-f45c89b91419,ng",C0746731,non-entailment,symptoms_diseases,C0027765,,
"23f31d52-66c7-11e7-835d-f45c89b91419,ng",C0011854,non-entailment,symptoms_diseases,C0027765,,
"23f31d52-66c7-11e7-835d-f45c89b91419,ng",C0017160,non-entailment,symptoms_diseases,C0027765,,
23f34ca6-66c7-11e7-961b-f45c89b91419,C0011334,entailment,symptoms_diseases,C0011334,56,62
"23f34ca6-66c7-11e7-961b-f45c89b91419,ng",C0011175,non-entailment,symptoms_diseases,C0011334,,
"23f34ca6-66c7-11e7-961b-f45c89b91419,ng",C1510654,non-entailment,symptoms_diseases,C0011334,,
"23f34ca6-66c7-11e7-961b-f45c89b91419,ng",C0275518,non-entailment,symptoms_diseases,C0011334,,
"23f34ca6-66c7-11e7-961b-f45c89b91419,ng",C1410927,non-entailment,symptoms_diseases,C0011334,,
"23f34ca6-66c7-11e7-961b-f45c89b91419,ng",C0746731,non-entailment,symptoms_diseases,C0011334,,
"23f34ca6-66c7-11e7-961b-f45c89b91419,ng",C0007177,non-entailment,symptoms_diseases,C0011334,,
"23f34ca6-66c7-11e7-961b-f45c89b91419,ng",C0034065,non-entailment,symptoms_diseases,C0011334,,
"23f34ca6-66c7-11e7-961b-f45c89b91419,ng",C0042373,non-entailment,symptoms_diseases,C0011334,,
"23f34ca6-66c7-11e7-961b-f45c89b91419,ng",C0020473,non-entailment,symptoms_diseases,C0011334,,
"23f34ca6-66c7-11e7-961b-f45c89b91419,ng",C0027765,non-entailment,symptoms_diseases,C0011334,,
23f3c9ba-66c7-11e7-88c4-f45c89b91419,C0149871,entailment,symptoms_diseases,C0149871,30,50
"23f3c9ba-66c7-11e7-88c4-f45c89b91419,ng",C0014179,non-entailment,symptoms_diseases,C0149871,,
"23f3c9ba-66c7-11e7-88c4-f45c89b91419,ng",C0004364,non-entailment,symptoms_diseases,C0149871,,
"23f3c9ba-66c7-11e7-88c4-f45c89b91419,ng",C0458219,non-entailment,symptoms_diseases,C0149871,,
"23f3c9ba-66c7-11e7-88c4-f45c89b91419,ng",C0017168,non-entailment,symptoms_diseases,C0149871,,
"23f3c9ba-66c7-11e7-88c4-f45c89b91419,ng",C0014179,non-entailment,symptoms_diseases,C0149871,,
"23f3c9ba-66c7-11e7-88c4-f45c89b91419,ng",C0040583,non-entailment,symptoms_diseases,C0149871,,
"23f3c9ba-66c7-11e7-88c4-f45c89b91419,ng",C0035078,non-entailment,symptoms_diseases,C0149871,,
"23f3c9ba-66c7-11e7-88c4-f45c89b91419,ng",C1561643,non-entailment,symptoms_diseases,C0149871,,
"23f3c9ba-66c7-11e7-88c4-f45c89b91419,ng",C0022638,non-entailment,symptoms_diseases,C0149871,,
"23f3c9ba-66c7-11e7-88c4-f45c89b91419,ng",C0239946,non-entailment,symptoms_diseases,C0149871,,
23f47434-66c7-11e7-bf6f-f45c89b91419,C0740941,entailment,symptoms_diseases,C0740941,18,35
23f8ebe8-66c7-11e7-8d1c-f45c89b91419,C0027765,entailment,symptoms_diseases,C0027765,18,40
"23f8ebe8-66c7-11e7-8d1c-f45c89b91419,ng",C0023212,non-entailment,symptoms_diseases,C0027765,,
"23f8ebe8-66c7-11e7-8d1c-f45c89b91419,ng",C0032227,non-entailment,symptoms_diseases,C0027765,,
"23f8ebe8-66c7-11e7-8d1c-f45c89b91419,ng",C0004623,non-entailment,symptoms_diseases,C0027765,,
"23f8ebe8-66c7-11e7-8d1c-f45c89b91419,ng",C0011334,non-entailment,symptoms_diseases,C0027765,,
"23f8ebe8-66c7-11e7-8d1c-f45c89b91419,ng",C0025517,non-entailment,symptoms_diseases,C0027765,,
"23f8ebe8-66c7-11e7-8d1c-f45c89b91419,ng",C1510654,non-entailment,symptoms_diseases,C0027765,,
"23f8ebe8-66c7-11e7-8d1c-f45c89b91419,ng",C0003507,non-entailment,symptoms_diseases,C0027765,,
"23f8ebe8-66c7-11e7-8d1c-f45c89b91419,ng",C0206062,non-entailment,symptoms_diseases,C0027765,,
"23f8ebe8-66c7-11e7-8d1c-f45c89b91419,ng",C0746883,non-entailment,symptoms_diseases,C0027765,,
"23f8ebe8-66c7-11e7-8d1c-f45c89b91419,ng",C0011168,non-entailment,symptoms_diseases,C0027765,,
"23f8ebe8-66c7-11e7-8d1c-f45c89b91419,ng",C0155626,non-entailment,treatments_diseases,C0027765,,
"23f8ebe8-66c7-11e7-8d1c-f45c89b91419,ng",C1956346,non-entailment,treatments_diseases,C0027765,,
"23f8ebe8-66c7-11e7-8d1c-f45c89b91419,ng",C0018790,non-entailment,treatments_diseases,C0027765,,
"23f8ebe8-66c7-11e7-8d1c-f45c89b91419,ng",C0003504,non-entailment,treatments_diseases,C0027765,,
"23f8ebe8-66c7-11e7-8d1c-f45c89b91419,ng",C0585105,non-entailment,treatments_diseases,C0027765,,
"23f8ebe8-66c7-11e7-8d1c-f45c89b91419,ng",C0151740,non-entailment,treatments_diseases,C0027765,,
"23f8ebe8-66c7-11e7-8d1c-f45c89b91419,ng",C0020538,non-entailment,treatments_diseases,C0027765,,
"23f8ebe8-66c7-11e7-8d1c-f45c89b91419,ng",C0020676,non-entailment,treatments_diseases,C0027765,,
"23f8ebe8-66c7-11e7-8d1c-f45c89b91419,ng",C0729552,non-entailment,treatments_diseases,C0027765,,
"23f8ebe8-66c7-11e7-8d1c-f45c89b91419,ng",C0027051,non-entailment,treatments_diseases,C0027765,,
23f9dc46-66c7-11e7-ad12-f45c89b91419,C0264733,entailment,symptoms_diseases,C0264733,16,34
"23f9dc46-66c7-11e7-ad12-f45c89b91419,ng",C0022116,non-entailment,symptoms_diseases,C0264733,,
"23f9dc46-66c7-11e7-ad12-f45c89b91419,ng",C0017168,non-entailment,symptoms_diseases,C0264733,,
"23f9dc46-66c7-11e7-ad12-f45c89b91419,ng",C0085581,non-entailment,symptoms_diseases,C0264733,,
"23f9dc46-66c7-11e7-ad12-f45c89b91419,ng",C0340285,non-entailment,symptoms_diseases,C0264733,,
"23f9dc46-66c7-11e7-ad12-f45c89b91419,ng",C0003962,non-entailment,symptoms_diseases,C0264733,,
"23f9dc46-66c7-11e7-ad12-f45c89b91419,ng",C0022661,non-entailment,symptoms_diseases,C0264733,,
"23f9dc46-66c7-11e7-ad12-f45c89b91419,ng",C0856747,non-entailment,symptoms_diseases,C0264733,,
"23f9dc46-66c7-11e7-ad12-f45c89b91419,ng",C0020456,non-entailment,symptoms_diseases,C0264733,,
"23f9dc46-66c7-11e7-ad12-f45c89b91419,ng",C0004623,non-entailment,symptoms_diseases,C0264733,,
"23f9dc46-66c7-11e7-ad12-f45c89b91419,ng",C0011168,non-entailment,symptoms_diseases,C0264733,,
23faa142-66c7-11e7-9da8-f45c89b91419,C0008350,entailment,symptoms_diseases,C0008350,24,34
"23faa142-66c7-11e7-9da8-f45c89b91419,ng",C0011168,non-entailment,symptoms_diseases,C0008350,,
"23faa142-66c7-11e7-9da8-f45c89b91419,ng",C0037199,non-entailment,symptoms_diseases,C0008350,,
"23faa142-66c7-11e7-9da8-f45c89b91419,ng",C0239946,non-entailment,symptoms_diseases,C0008350,,
"23faa142-66c7-11e7-9da8-f45c89b91419,ng",C0020258,non-entailment,symptoms_diseases,C0008350,,
"23faa142-66c7-11e7-9da8-f45c89b91419,ng",C0155668,non-entailment,symptoms_diseases,C0008350,,
"23faa142-66c7-11e7-9da8-f45c89b91419,ng",C0162871,non-entailment,symptoms_diseases,C0008350,,
"23faa142-66c7-11e7-9da8-f45c89b91419,ng",C0030469,non-entailment,symptoms_diseases,C0008350,,
"23faa142-66c7-11e7-9da8-f45c89b91419,ng",C0272285,non-entailment,symptoms_diseases,C0008350,,
"23faa142-66c7-11e7-9da8-f45c89b91419,ng",C0037278,non-entailment,symptoms_diseases,C0008350,,
"23faa142-66c7-11e7-9da8-f45c89b91419,ng",C0011175,non-entailment,symptoms_diseases,C0008350,,
23fac5d2-66c7-11e7-84ba-f45c89b91419,C0948089,entailment,symptoms_diseases,C0948089,40,63
"23fac5d2-66c7-11e7-84ba-f45c89b91419,ng",C0003869,non-entailment,symptoms_diseases,C0948089,,
"23fac5d2-66c7-11e7-84ba-f45c89b91419,ng",C0022660,non-entailment,symptoms_diseases,C0948089,,
"23fac5d2-66c7-11e7-84ba-f45c89b91419,ng",C0085096,non-entailment,symptoms_diseases,C0948089,,
"23fac5d2-66c7-11e7-84ba-f45c89b91419,ng",C0004623,non-entailment,symptoms_diseases,C0948089,,
"23fac5d2-66c7-11e7-84ba-f45c89b91419,ng",C0040997,non-entailment,symptoms_diseases,C0948089,,
"23fac5d2-66c7-11e7-84ba-f45c89b91419,ng",C0085605,non-entailment,symptoms_diseases,C0948089,,
"23fac5d2-66c7-11e7-84ba-f45c89b91419,ng",C1260873,non-entailment,symptoms_diseases,C0948089,,
"23fac5d2-66c7-11e7-84ba-f45c89b91419,ng",C0003507,non-entailment,symptoms_diseases,C0948089,,
"23fac5d2-66c7-11e7-84ba-f45c89b91419,ng",C0011880,non-entailment,symptoms_diseases,C0948089,,
"23fac5d2-66c7-11e7-84ba-f45c89b91419,ng",C0004610,non-entailment,symptoms_diseases,C0948089,,
23fade64-66c7-11e7-b317-f45c89b91419,C0701818,entailment,symptoms_diseases,C0701818,24,43
23faedbe-66c7-11e7-880d-f45c89b91419,C0038454,entailment,symptoms_diseases,C0038454,23,29
"23faedbe-66c7-11e7-880d-f45c89b91419,ng",C0031039,non-entailment,symptoms_diseases,C0038454,,
"23faedbe-66c7-11e7-880d-f45c89b91419,ng",C1145670,non-entailment,symptoms_diseases,C0038454,,
"23faedbe-66c7-11e7-880d-f45c89b91419,ng",C0014179,non-entailment,symptoms_diseases,C0038454,,
"23faedbe-66c7-11e7-880d-f45c89b91419,ng",C0014179,non-entailment,symptoms_diseases,C0038454,,
"23faedbe-66c7-11e7-880d-f45c89b91419,ng",C0020258,non-entailment,symptoms_diseases,C0038454,,
"23faedbe-66c7-11e7-880d-f45c89b91419,ng",C0085581,non-entailment,symptoms_diseases,C0038454,,
"23faedbe-66c7-11e7-880d-f45c89b91419,ng",C0151740,non-entailment,symptoms_diseases,C0038454,,
"23faedbe-66c7-11e7-880d-f45c89b91419,ng",C0003869,non-entailment,symptoms_diseases,C0038454,,
"23faedbe-66c7-11e7-880d-f45c89b91419,ng",C0856747,non-entailment,symptoms_diseases,C0038454,,
"23faedbe-66c7-11e7-880d-f45c89b91419,ng",C0085605,non-entailment,symptoms_diseases,C0038454,,
23fb6442-66c7-11e7-9fea-f45c89b91419,C0020456,entailment,symptoms_diseases,C0020456,31,44
"23fb6442-66c7-11e7-9fea-f45c89b91419,ng",C0030305,non-entailment,symptoms_diseases,C0020456,,
"23fb6442-66c7-11e7-9fea-f45c89b91419,ng",C0023211,non-entailment,symptoms_diseases,C0020456,,
"23fb6442-66c7-11e7-9fea-f45c89b91419,ng",C0014868,non-entailment,symptoms_diseases,C0020456,,
"23fb6442-66c7-11e7-9fea-f45c89b91419,ng",C0003504,non-entailment,symptoms_diseases,C0020456,,
"23fb6442-66c7-11e7-9fea-f45c89b91419,ng",C0030469,non-entailment,symptoms_diseases,C0020456,,
"23fb6442-66c7-11e7-9fea-f45c89b91419,ng",C0085605,non-entailment,symptoms_diseases,C0020456,,
"23fb6442-66c7-11e7-9fea-f45c89b91419,ng",C0018939,non-entailment,symptoms_diseases,C0020456,,
"23fb6442-66c7-11e7-9fea-f45c89b91419,ng",C0008350,non-entailment,symptoms_diseases,C0020456,,
"23fb6442-66c7-11e7-9fea-f45c89b91419,ng",C0004153,non-entailment,symptoms_diseases,C0020456,,
"23fb6442-66c7-11e7-9fea-f45c89b91419,ng",C0340288,non-entailment,symptoms_diseases,C0020456,,
23fbb822-66c7-11e7-8ab3-f45c89b91419,C0239946,entailment,symptoms_diseases,C0239946,25,41
"23fbb822-66c7-11e7-8ab3-f45c89b91419,ng",C0876973,non-entailment,symptoms_diseases,C0239946,,
"23fbb822-66c7-11e7-8ab3-f45c89b91419,ng",C0007286,non-entailment,symptoms_diseases,C0239946,,
"23fbb822-66c7-11e7-8ab3-f45c89b91419,ng",C1956346,non-entailment,symptoms_diseases,C0239946,,
"23fbb822-66c7-11e7-8ab3-f45c89b91419,ng",C0002940,non-entailment,symptoms_diseases,C0239946,,
"23fbb822-66c7-11e7-8ab3-f45c89b91419,ng",C0264733,non-entailment,symptoms_diseases,C0239946,,
"23fbb822-66c7-11e7-8ab3-f45c89b91419,ng",C0746883,non-entailment,symptoms_diseases,C0239946,,
"23fbb822-66c7-11e7-8ab3-f45c89b91419,ng",C0546817,non-entailment,symptoms_diseases,C0239946,,
"23fbb822-66c7-11e7-8ab3-f45c89b91419,ng",C0037199,non-entailment,symptoms_diseases,C0239946,,
"23fbb822-66c7-11e7-8ab3-f45c89b91419,ng",C1260873,non-entailment,symptoms_diseases,C0239946,,
"23fbb822-66c7-11e7-8ab3-f45c89b91419,ng",C0162871,non-entailment,symptoms_diseases,C0239946,,
23fc7440-66c7-11e7-99d1-f45c89b91419,C0264490,entailment,symptoms_diseases,C0264490,12,37
"23fc7440-66c7-11e7-99d1-f45c89b91419,ng",C0032285,non-entailment,symptoms_diseases,C0264490,,
"23fc7440-66c7-11e7-99d1-f45c89b91419,ng",C1561643,non-entailment,symptoms_diseases,C0264490,,
"23fc7440-66c7-11e7-99d1-f45c89b91419,ng",C0002965,non-entailment,symptoms_diseases,C0264490,,
"23fc7440-66c7-11e7-99d1-f45c89b91419,ng",C0206062,non-entailment,symptoms_diseases,C0264490,,
"23fc7440-66c7-11e7-99d1-f45c89b91419,ng",C0403447,non-entailment,symptoms_diseases,C0264490,,
"23fc7440-66c7-11e7-99d1-f45c89b91419,ng",C0004153,non-entailment,symptoms_diseases,C0264490,,
"23fc7440-66c7-11e7-99d1-f45c89b91419,ng",C0017168,non-entailment,symptoms_diseases,C0264490,,
"23fc7440-66c7-11e7-99d1-f45c89b91419,ng",C0162871,non-entailment,symptoms_diseases,C0264490,,
"23fc7440-66c7-11e7-99d1-f45c89b91419,ng",C0856747,non-entailment,symptoms_diseases,C0264490,,
"23fc7440-66c7-11e7-99d1-f45c89b91419,ng",C0275518,non-entailment,symptoms_diseases,C0264490,,
23fc7d64-66c7-11e7-8a55-f45c89b91419,C0018802,entailment,symptoms_diseases,C0018802,16,40
"23fc7d64-66c7-11e7-8a55-f45c89b91419,ng",C0085096,non-entailment,symptoms_diseases,C0018802,,
"23fc7d64-66c7-11e7-8a55-f45c89b91419,ng",C1956346,non-entailment,symptoms_diseases,C0018802,,
"23fc7d64-66c7-11e7-8a55-f45c89b91419,ng",C1145670,non-entailment,symptoms_diseases,C0018802,,
"23fc7d64-66c7-11e7-8a55-f45c89b91419,ng",C0004623,non-entailment,symptoms_diseases,C0018802,,
"23fc7d64-66c7-11e7-8a55-f45c89b91419,ng",C0020676,non-entailment,symptoms_diseases,C0018802,,
"23fc7d64-66c7-11e7-8a55-f45c89b91419,ng",C0012569,non-entailment,symptoms_diseases,C0018802,,
"23fc7d64-66c7-11e7-8a55-f45c89b91419,ng",C0007286,non-entailment,symptoms_diseases,C0018802,,
"23fc7d64-66c7-11e7-8a55-f45c89b91419,ng",C0340285,non-entailment,symptoms_diseases,C0018802,,
"23fc7d64-66c7-11e7-8a55-f45c89b91419,ng",C0027868,non-entailment,symptoms_diseases,C0018802,,
"23fc7d64-66c7-11e7-8a55-f45c89b91419,ng",C0023895,non-entailment,symptoms_diseases,C0018802,,
23fe0210-66c7-11e7-b100-f45c89b91419,C1561643,entailment,symptoms_diseases,C1561643,12,15
"23fe0210-66c7-11e7-b100-f45c89b91419,ng",C0011168,non-entailment,symptoms_diseases,C1561643,,
