pair_id,CUI,label,original_cui,start_index,end_index
"24000a6c-66c7-11e7-9e6f-f45c89b91419,ng",C0155626,non-entailment,C1561643,,
"24000a6c-66c7-11e7-9e6f-f45c89b91419,ng",C0018799,non-entailment,C1561643,,
"24000a6c-66c7-11e7-9e6f-f45c89b91419,ng",C0032227,non-entailment,C1561643,,
"24000a6c-66c7-11e7-9e6f-f45c89b91419,ng",C0162316,non-entailment,C1561643,,
"24000a6c-66c7-11e7-9e6f-f45c89b91419,ng",C1561643,non-entailment,C0022661,,
"24000a6c-66c7-11e7-9e6f-f45c89b91419,ng",C0018802,non-entailment,C0022661,,
"24000a6c-66c7-11e7-9e6f-f45c89b91419,ng",C0022660,non-entailment,C0022661,,
"24000a6c-66c7-11e7-9e6f-f45c89b91419,ng",C0038449,non-entailment,C0022661,,
"24000a6c-66c7-11e7-9e6f-f45c89b91419,ng",C0020538,non-entailment,C0022661,,
"24000a6c-66c7-11e7-9e6f-f45c89b91419,ng",C0018801,non-entailment,C0022661,,
"24000a6c-66c7-11e7-9e6f-f45c89b91419,ng",C0162316,non-entailment,C0022661,,
"24000a6c-66c7-11e7-9e6f-f45c89b91419,ng",C0155626,non-entailment,C0022661,,
"24000a6c-66c7-11e7-9e6f-f45c89b91419,ng",C0032227,non-entailment,C0022661,,
"24000a6c-66c7-11e7-9e6f-f45c89b91419,ng",C0018799,non-entailment,C0022661,,
2404e826-66c7-11e7-bd9b-f45c89b91419,C0020538,entailment,C0020538,11,30
"2404e826-66c7-11e7-bd9b-f45c89b91419,ng",C0035078,non-entailment,C0020538,,
"2404e826-66c7-11e7-bd9b-f45c89b91419,ng",C0018802,non-entailment,C0020538,,
"2404e826-66c7-11e7-bd9b-f45c89b91419,ng",C0038449,non-entailment,C0020538,,
"2404e826-66c7-11e7-bd9b-f45c89b91419,ng",C0018801,non-entailment,C0020538,,
"2404e826-66c7-11e7-bd9b-f45c89b91419,ng",C0155626,non-entailment,C0020538,,
"2404e826-66c7-11e7-bd9b-f45c89b91419,ng",C0020676,non-entailment,C0020538,,
"2404e826-66c7-11e7-bd9b-f45c89b91419,ng",C0002965,non-entailment,C0020538,,
"2404e826-66c7-11e7-bd9b-f45c89b91419,ng",C0007194,non-entailment,C0020538,,
"2404e826-66c7-11e7-bd9b-f45c89b91419,ng",C0085615,non-entailment,C0020538,,
"2404e826-66c7-11e7-bd9b-f45c89b91419,ng",C1956346,non-entailment,C0020538,,
24066310-66c7-11e7-9020-f45c89b91419,C0020538,entailment,C0020538,16,35
"24066310-66c7-11e7-9020-f45c89b91419,ng",C0035078,non-entailment,C0020538,,
"24066310-66c7-11e7-9020-f45c89b91419,ng",C0018802,non-entailment,C0020538,,
"24066310-66c7-11e7-9020-f45c89b91419,ng",C0038449,non-entailment,C0020538,,
"24066310-66c7-11e7-9020-f45c89b91419,ng",C0018801,non-entailment,C0020538,,
"24066310-66c7-11e7-9020-f45c89b91419,ng",C0155626,non-entailment,C0020538,,
"24066310-66c7-11e7-9020-f45c89b91419,ng",C0020676,non-entailment,C0020538,,
"24066310-66c7-11e7-9020-f45c89b91419,ng",C0002965,non-entailment,C0020538,,
"24066310-66c7-11e7-9020-f45c89b91419,ng",C0007194,non-entailment,C0020538,,
"24066310-66c7-11e7-9020-f45c89b91419,ng",C0085615,non-entailment,C0020538,,
"24066310-66c7-11e7-9020-f45c89b91419,ng",C1956346,non-entailment,C0020538,,
240b163a-66c7-11e7-a344-f45c89b91419,C0018802,entailment,C0018802,16,40
"240b163a-66c7-11e7-a344-f45c89b91419,ng",C0035078,non-entailment,C0018802,,
"240b163a-66c7-11e7-a344-f45c89b91419,ng",C0032227,non-entailment,C0018802,,
"240b163a-66c7-11e7-a344-f45c89b91419,ng",C1561643,non-entailment,C0018802,,
"240b163a-66c7-11e7-a344-f45c89b91419,ng",C0155626,non-entailment,C0018802,,
"240b163a-66c7-11e7-a344-f45c89b91419,ng",C0002965,non-entailment,C0018802,,
"240b163a-66c7-11e7-a344-f45c89b91419,ng",C0007194,non-entailment,C0018802,,
"240b163a-66c7-11e7-a344-f45c89b91419,ng",C0022660,non-entailment,C0018802,,
"240b163a-66c7-11e7-a344-f45c89b91419,ng",C0020538,non-entailment,C0018802,,
"240b163a-66c7-11e7-a344-f45c89b91419,ng",C0018790,non-entailment,C0018802,,
"240b163a-66c7-11e7-a344-f45c89b91419,ng",C0085615,non-entailment,C0018802,,
240b61f8-66c7-11e7-b4c4-f45c89b91419,C0022661,entailment,C0022661,7,30
"240b61f8-66c7-11e7-b4c4-f45c89b91419,ng",C1561643,non-entailment,C0022661,,
"240b61f8-66c7-11e7-b4c4-f45c89b91419,ng",C0018802,non-entailment,C0022661,,
"240b61f8-66c7-11e7-b4c4-f45c89b91419,ng",C0022660,non-entailment,C0022661,,
"240b61f8-66c7-11e7-b4c4-f45c89b91419,ng",C0038449,non-entailment,C0022661,,
"240b61f8-66c7-11e7-b4c4-f45c89b91419,ng",C0020538,non-entailment,C0022661,,
"240b61f8-66c7-11e7-b4c4-f45c89b91419,ng",C0018801,non-entailment,C0022661,,
"240b61f8-66c7-11e7-b4c4-f45c89b91419,ng",C0162316,non-entailment,C0022661,,
"240b61f8-66c7-11e7-b4c4-f45c89b91419,ng",C0155626,non-entailment,C0022661,,
"240b61f8-66c7-11e7-b4c4-f45c89b91419,ng",C0032227,non-entailment,C0022661,,
"240b61f8-66c7-11e7-b4c4-f45c89b91419,ng",C0018799,non-entailment,C0022661,,
240c9938-66c7-11e7-b43d-f45c89b91419,C0038454,entailment,C0038454,20,36
"240c9938-66c7-11e7-b43d-f45c89b91419,ng",C0235480,non-entailment,C0038454,,
"240c9938-66c7-11e7-b43d-f45c89b91419,ng",C0020456,non-entailment,C0038454,,
"240c9938-66c7-11e7-b43d-f45c89b91419,ng",C0011168,non-entailment,C0038454,,
"240c9938-66c7-11e7-b43d-f45c89b91419,ng",C0024117,non-entailment,C0038454,,
"240c9938-66c7-11e7-b43d-f45c89b91419,ng",C0442874,non-entailment,C0038454,,
"240c9938-66c7-11e7-b43d-f45c89b91419,ng",C0018799,non-entailment,C0038454,,
"240c9938-66c7-11e7-b43d-f45c89b91419,ng",C0007787,non-entailment,C0038454,,
"240c9938-66c7-11e7-b43d-f45c89b91419,ng",C0162316,non-entailment,C0038454,,
"240c9938-66c7-11e7-b43d-f45c89b91419,ng",C0042029,non-entailment,C0038454,,
"240c9938-66c7-11e7-b43d-f45c89b91419,ng",C1510654,non-entailment,C0038454,,
240cedfa-66c7-11e7-8f92-f45c89b91419,C0024117,entailment,C0024117,16,20
"240cedfa-66c7-11e7-8f92-f45c89b91419,ng",C0235480,non-entailment,C0024117,,
"240cedfa-66c7-11e7-8f92-f45c89b91419,ng",C0520679,non-entailment,C0024117,,
"240cedfa-66c7-11e7-8f92-f45c89b91419,ng",C1510654,non-entailment,C0024117,,
"240cedfa-66c7-11e7-8f92-f45c89b91419,ng",C0442874,non-entailment,C0024117,,
"240cedfa-66c7-11e7-8f92-f45c89b91419,ng",C0042029,non-entailment,C0024117,,
"240cedfa-66c7-11e7-8f92-f45c89b91419,ng",C0037315,non-entailment,C0024117,,
"240cedfa-66c7-11e7-8f92-f45c89b91419,ng",C0020456,non-entailment,C0024117,,
"240cedfa-66c7-11e7-8f92-f45c89b91419,ng",C0038454,non-entailment,C0024117,,
"240cedfa-66c7-11e7-8f92-f45c89b91419,ng",C0011168,non-entailment,C0024117,,
"240cedfa-66c7-11e7-8f92-f45c89b91419,ng",C0018799,non-entailment,C0024117,,
241ea812-66c7-11e7-b42f-f45c89b91419,C0042029,entailment,C0042029,18,21
"241ea812-66c7-11e7-b42f-f45c89b91419,ng",C1510654,non-entailment,C0042029,,
"241ea812-66c7-11e7-b42f-f45c89b91419,ng",C0022660,non-entailment,C0042029,,
"241ea812-66c7-11e7-b42f-f45c89b91419,ng",C1561643,non-entailment,C0042029,,
"241ea812-66c7-11e7-b42f-f45c89b91419,ng",C0162316,non-entailment,C0042029,,
"241ea812-66c7-11e7-b42f-f45c89b91419,ng",C0018802,non-entailment,C0042029,,
"241ea812-66c7-11e7-b42f-f45c89b91419,ng",C0011168,non-entailment,C0042029,,
"241ea812-66c7-11e7-b42f-f45c89b91419,ng",C0520679,non-entailment,C0042029,,
"241ea812-66c7-11e7-b42f-f45c89b91419,ng",C0020676,non-entailment,C0042029,,
"241ea812-66c7-11e7-b42f-f45c89b91419,ng",C0035078,non-entailment,C0042029,,
"241ea812-66c7-11e7-b42f-f45c89b91419,ng",C0015230,non-entailment,C0042029,,
241edc24-66c7-11e7-9157-f45c89b91419,C0020538,entailment,C0020538,15,34
"241edc24-66c7-11e7-9157-f45c89b91419,ng",C0035078,non-entailment,C0020538,,
"241edc24-66c7-11e7-9157-f45c89b91419,ng",C0018802,non-entailment,C0020538,,
"241edc24-66c7-11e7-9157-f45c89b91419,ng",C0038449,non-entailment,C0020538,,
"241edc24-66c7-11e7-9157-f45c89b91419,ng",C0018801,non-entailment,C0020538,,
"241edc24-66c7-11e7-9157-f45c89b91419,ng",C0155626,non-entailment,C0020538,,
"241edc24-66c7-11e7-9157-f45c89b91419,ng",C0020676,non-entailment,C0020538,,
"241edc24-66c7-11e7-9157-f45c89b91419,ng",C0002965,non-entailment,C0020538,,
"241edc24-66c7-11e7-9157-f45c89b91419,ng",C0007194,non-entailment,C0020538,,
"241edc24-66c7-11e7-9157-f45c89b91419,ng",C0085615,non-entailment,C0020538,,
"241edc24-66c7-11e7-9157-f45c89b91419,ng",C1956346,non-entailment,C0020538,,
241f9128-66c7-11e7-bed7-f45c89b91419,C0520679,entailment,C0520679,11,34
"241f9128-66c7-11e7-bed7-f45c89b91419,ng",C0024117,non-entailment,C0520679,,
"241f9128-66c7-11e7-bed7-f45c89b91419,ng",C0018099,non-entailment,C0520679,,
"241f9128-66c7-11e7-bed7-f45c89b91419,ng",C1510654,non-entailment,C0520679,,
"241f9128-66c7-11e7-bed7-f45c89b91419,ng",C0018799,non-entailment,C0520679,,
"241f9128-66c7-11e7-bed7-f45c89b91419,ng",C0042029,non-entailment,C0520679,,
"241f9128-66c7-11e7-bed7-f45c89b91419,ng",C0011168,non-entailment,C0520679,,
"241f9128-66c7-11e7-bed7-f45c89b91419,ng",C1561643,non-entailment,C0520679,,
"241f9128-66c7-11e7-bed7-f45c89b91419,ng",C0162316,non-entailment,C0520679,,
"241f9128-66c7-11e7-bed7-f45c89b91419,ng",C0017168,non-entailment,C0520679,,
"241f9128-66c7-11e7-bed7-f45c89b91419,ng",C0085615,non-entailment,C0520679,,
24204474-66c7-11e7-833a-f45c89b91419,C0020538,entailment,C0020538,15,34
"24204474-66c7-11e7-833a-f45c89b91419,ng",C0035078,non-entailment,C0020538,,
"24204474-66c7-11e7-833a-f45c89b91419,ng",C0018802,non-entailment,C0020538,,
"24204474-66c7-11e7-833a-f45c89b91419,ng",C0038449,non-entailment,C0020538,,
"24204474-66c7-11e7-833a-f45c89b91419,ng",C0018801,non-entailment,C0020538,,
"24204474-66c7-11e7-833a-f45c89b91419,ng",C0155626,non-entailment,C0020538,,
"24204474-66c7-11e7-833a-f45c89b91419,ng",C0020676,non-entailment,C0020538,,
"24204474-66c7-11e7-833a-f45c89b91419,ng",C0002965,non-entailment,C0020538,,
"24204474-66c7-11e7-833a-f45c89b91419,ng",C0007194,non-entailment,C0020538,,
"24204474-66c7-11e7-833a-f45c89b91419,ng",C0085615,non-entailment,C0020538,,
"24204474-66c7-11e7-833a-f45c89b91419,ng",C1956346,non-entailment,C0020538,,
24208ede-66c7-11e7-9b4a-f45c89b91419,C0038454,entailment,C0038454,11,17
"24208ede-66c7-11e7-9b4a-f45c89b91419,ng",C0235480,non-entailment,C0038454,,
"24208ede-66c7-11e7-9b4a-f45c89b91419,ng",C0020456,non-entailment,C0038454,,
"24208ede-66c7-11e7-9b4a-f45c89b91419,ng",C0011168,non-entailment,C0038454,,
"24208ede-66c7-11e7-9b4a-f45c89b91419,ng",C0024117,non-entailment,C0038454,,
"24208ede-66c7-11e7-9b4a-f45c89b91419,ng",C0442874,non-entailment,C0038454,,
"24208ede-66c7-11e7-9b4a-f45c89b91419,ng",C0018799,non-entailment,C0038454,,
"24208ede-66c7-11e7-9b4a-f45c89b91419,ng",C0007787,non-entailment,C0038454,,
"24208ede-66c7-11e7-9b4a-f45c89b91419,ng",C0162316,non-entailment,C0038454,,
"24208ede-66c7-11e7-9b4a-f45c89b91419,ng",C0042029,non-entailment,C0038454,,
"24208ede-66c7-11e7-9b4a-f45c89b91419,ng",C1510654,non-entailment,C0038454,,
2421f436-66c7-11e7-9ea6-f45c89b91419,C0011847,entailment,C0011847,12,20
2422512e-66c7-11e7-ad3a-f45c89b91419,C0554876,entailment,C0554876,16,42
2425d8b0-66c7-11e7-83bc-f45c89b91419,C0027051,entailment,C0027051,29,41
"2425d8b0-66c7-11e7-83bc-f45c89b91419,ng",C0587044,non-entailment,C0027051,,
"2425d8b0-66c7-11e7-83bc-f45c89b91419,ng",C0242231,non-entailment,C0027051,,
"2425d8b0-66c7-11e7-83bc-f45c89b91419,ng",C0742758,non-entailment,C0027051,,
"2425d8b0-66c7-11e7-83bc-f45c89b91419,ng",C0149721,non-entailment,C0027051,,
"2425d8b0-66c7-11e7-83bc-f45c89b91419,ng",C0003504,non-entailment,C0027051,,
"2425d8b0-66c7-11e7-83bc-f45c89b91419,ng",C0026269,non-entailment,C0027051,,
"2425d8b0-66c7-11e7-83bc-f45c89b91419,ng",C0003507,non-entailment,C0027051,,
"2425d8b0-66c7-11e7-83bc-f45c89b91419,ng",C0026267,non-entailment,C0027051,,
"2425d8b0-66c7-11e7-83bc-f45c89b91419,ng",C0007787,non-entailment,C0027051,,
"2425d8b0-66c7-11e7-83bc-f45c89b91419,ng",C0020542,non-entailment,C0027051,,
2426decc-66c7-11e7-823c-f45c89b91419,C0042029,entailment,C0042029,19,22
"2426decc-66c7-11e7-823c-f45c89b91419,ng",C1510654,non-entailment,C0042029,,
"2426decc-66c7-11e7-823c-f45c89b91419,ng",C0022660,non-entailment,C0042029,,
"2426decc-66c7-11e7-823c-f45c89b91419,ng",C1561643,non-entailment,C0042029,,
"2426decc-66c7-11e7-823c-f45c89b91419,ng",C0162316,non-entailment,C0042029,,
"2426decc-66c7-11e7-823c-f45c89b91419,ng",C0018802,non-entailment,C0042029,,
"2426decc-66c7-11e7-823c-f45c89b91419,ng",C0011168,non-entailment,C0042029,,
"2426decc-66c7-11e7-823c-f45c89b91419,ng",C0520679,non-entailment,C0042029,,
"2426decc-66c7-11e7-823c-f45c89b91419,ng",C0020676,non-entailment,C0042029,,
"2426decc-66c7-11e7-823c-f45c89b91419,ng",C0035078,non-entailment,C0042029,,
"2426decc-66c7-11e7-823c-f45c89b91419,ng",C0015230,non-entailment,C0042029,,
2428a2e8-66c7-11e7-8a78-f45c89b91419,C0235329,entailment,C0235329,18,41
"2428a2e8-66c7-11e7-8a78-f45c89b91419,ng",C0012813,non-entailment,C0235329,,
"2428a2e8-66c7-11e7-8a78-f45c89b91419,ng",C0235325,non-entailment,C0235329,,
"2428a2e8-66c7-11e7-8a78-f45c89b91419,ng",C0017152,non-entailment,C0235329,,
"2428a2e8-66c7-11e7-8a78-f45c89b91419,ng",C0042345,non-entailment,C0235329,,
"2428a2e8-66c7-11e7-8a78-f45c89b91419,ng",C0008350,non-entailment,C0235329,,
"2428a2e8-66c7-11e7-8a78-f45c89b91419,ng",C0023890,non-entailment,C0235329,,
"2428a2e8-66c7-11e7-8a78-f45c89b91419,ng",C0032290,non-entailment,C0235329,,
"2428a2e8-66c7-11e7-8a78-f45c89b91419,ng",C0149801,non-entailment,C0235329,,
"2428a2e8-66c7-11e7-8a78-f45c89b91419,ng",C0010709,non-entailment,C0235329,,
"2428a2e8-66c7-11e7-8a78-f45c89b91419,ng",C0162871,non-entailment,C0235329,,
2428d530-66c7-11e7-a04a-f45c89b91419,C0042029,entailment,C0042029,18,21
"2428d530-66c7-11e7-a04a-f45c89b91419,ng",C1510654,non-entailment,C0042029,,
"2428d530-66c7-11e7-a04a-f45c89b91419,ng",C0022660,non-entailment,C0042029,,
"2428d530-66c7-11e7-a04a-f45c89b91419,ng",C1561643,non-entailment,C0042029,,
"2428d530-66c7-11e7-a04a-f45c89b91419,ng",C0162316,non-entailment,C0042029,,
"2428d530-66c7-11e7-a04a-f45c89b91419,ng",C0018802,non-entailment,C0042029,,
"2428d530-66c7-11e7-a04a-f45c89b91419,ng",C0011168,non-entailment,C0042029,,
"2428d530-66c7-11e7-a04a-f45c89b91419,ng",C0520679,non-entailment,C0042029,,
"2428d530-66c7-11e7-a04a-f45c89b91419,ng",C0020676,non-entailment,C0042029,,
"2428d530-66c7-11e7-a04a-f45c89b91419,ng",C0035078,non-entailment,C0042029,,
"2428d530-66c7-11e7-a04a-f45c89b91419,ng",C0015230,non-entailment,C0042029,,
2429943e-66c7-11e7-927a-f45c89b91419,C0018802,entailment,C0018802,16,40
"2429943e-66c7-11e7-927a-f45c89b91419,ng",C0035078,non-entailment,C0018802,,
"2429943e-66c7-11e7-927a-f45c89b91419,ng",C0032227,non-entailment,C0018802,,
"2429943e-66c7-11e7-927a-f45c89b91419,ng",C1561643,non-entailment,C0018802,,
"2429943e-66c7-11e7-927a-f45c89b91419,ng",C0155626,non-entailment,C0018802,,
"2429943e-66c7-11e7-927a-f45c89b91419,ng",C0002965,non-entailment,C0018802,,
"2429943e-66c7-11e7-927a-f45c89b91419,ng",C0007194,non-entailment,C0018802,,
"2429943e-66c7-11e7-927a-f45c89b91419,ng",C0022660,non-entailment,C0018802,,
"2429943e-66c7-11e7-927a-f45c89b91419,ng",C0020538,non-entailment,C0018802,,
"2429943e-66c7-11e7-927a-f45c89b91419,ng",C0018790,non-entailment,C0018802,,
"2429943e-66c7-11e7-927a-f45c89b91419,ng",C0085615,non-entailment,C0018802,,
242a5c70-66c7-11e7-9717-f45c89b91419,C0742758,entailment,C0742758,30,54
"242a5c70-66c7-11e7-9717-f45c89b91419,ng",C0149721,non-entailment,C0742758,,
"242a5c70-66c7-11e7-9717-f45c89b91419,ng",C0027051,non-entailment,C0742758,,
"242a5c70-66c7-11e7-9717-f45c89b91419,ng",C0242231,non-entailment,C0742758,,
"242a5c70-66c7-11e7-9717-f45c89b91419,ng",C0026269,non-entailment,C0742758,,
"242a5c70-66c7-11e7-9717-f45c89b91419,ng",C0587044,non-entailment,C0742758,,
"242a5c70-66c7-11e7-9717-f45c89b91419,ng",C0026267,non-entailment,C0742758,,
"242a5c70-66c7-11e7-9717-f45c89b91419,ng",C0003507,non-entailment,C0742758,,
"242a5c70-66c7-11e7-9717-f45c89b91419,ng",C0003504,non-entailment,C0742758,,
"242a5c70-66c7-11e7-9717-f45c89b91419,ng",C0020542,non-entailment,C0742758,,
"242a5c70-66c7-11e7-9717-f45c89b91419,ng",C0403447,non-entailment,C0742758,,
242af400-66c7-11e7-928f-f45c89b91419,C0018802,entailment,C0018802,12,15
"242af400-66c7-11e7-928f-f45c89b91419,ng",C0035078,non-entailment,C0018802,,
"242af400-66c7-11e7-928f-f45c89b91419,ng",C0032227,non-entailment,C0018802,,
"242af400-66c7-11e7-928f-f45c89b91419,ng",C1561643,non-entailment,C0018802,,
"242af400-66c7-11e7-928f-f45c89b91419,ng",C0155626,non-entailment,C0018802,,
"242af400-66c7-11e7-928f-f45c89b91419,ng",C0002965,non-entailment,C0018802,,
"242af400-66c7-11e7-928f-f45c89b91419,ng",C0007194,non-entailment,C0018802,,
